Time,useless,still,wave,nearDrops,smallDrops,drops,foam
0.021 sec,0,1,0,0,0,0,0
0.029 sec,0,1,0,0,0,0,0
0.038 sec,0,1,0,0,0,0,0
0.046 sec,0,1,0,0,0,0,0
0.054 sec,0,1,0,0,0,0,0
0.063 sec,0,1,0,0,0,0,0
0.071 sec,0,1,0,0,0,0,0
0.079 sec,0,1,0,0,0,0,0
0.088 sec,0,1,0,0,0,0,0
0.096 sec,0,1,0,0,0,0,0
0.104 sec,0,1,0,0,0,0,0
0.113 sec,0,1,0,0,0,0,0
0.121 sec,0,1,0,0,0,0,0
0.129 sec,0,1,0,0,0,0,0
0.138 sec,0,1,0,0,0,0,0
0.146 sec,0,1,0,0,0,0,0
0.154 sec,0,1,0,0,0,0,0
0.163 sec,0,1,0,0,0,0,0
0.171 sec,0,1,0,0,0,0,0
0.179 sec,0,1,0,0,0,0,0
0.188 sec,0,1,0,0,0,0,0
0.196 sec,0,1,0,0,0,0,0
0.205 sec,0,1,0,0,0,0,0
0.213 sec,0,1,0,0,0,0,0
0.221 sec,0,1,0,0,0,0,0
0.23 sec,0,1,0,0,0,0,0
0.238 sec,0,1,0,0,0,0,0
0.246 sec,0,1,0,0,0,0,0
0.255 sec,0,1,0,0,0,0,0
0.263 sec,0,1,0,0,0,0,0
0.271 sec,0,1,0,0,0,0,0
0.28 sec,0,1,0,0,0,0,0
0.288 sec,0,1,0,0,0,0,0
0.296 sec,0,1,0,0,0,0,0
0.305 sec,0,1,0,0,0,0,0
0.313 sec,0,1,0,0,0,0,0
0.321 sec,0,1,0,0,0,0,0
0.33 sec,0,1,0,0,0,0,0
0.338 sec,0,1,0,0,0,0,0
0.346 sec,0,1,0,0,0,0,0
0.355 sec,0,1,0,0,0,0,0
0.363 sec,0,1,0,0,0,0,0
0.371 sec,0,1,0,0,0,0,0
0.38 sec,0,1,0,0,0,0,0
0.388 sec,0,1,0,0,0,0,0
0.396 sec,0,1,0,0,0,0,0
0.405 sec,0,1,0,0,0,0,0
0.413 sec,0,1,0,0,0,0,0
0.421 sec,0,1,0,0,0,0,0
0.43 sec,0,1,0,0,0,0,0
0.438 sec,0,1,0,0,0,0,0
0.446 sec,0,1,0,0,0,0,0
0.455 sec,0,1,0,0,0,0,0
0.463 sec,0,1,0,0,0,0,0
0.471 sec,0,1,0,0,0,0,0
0.48 sec,0,1,0,0,0,0,0
0.488 sec,0,1,0,0,0,0,0
0.496 sec,0,1,0,0,0,0,0
0.505 sec,0,1,0,0,0,0,0
0.513 sec,0,1,0,0,0,0,0
0.522 sec,0,1,0,0,0,0,0
0.53 sec,0,1,0,0,0,0,0
0.538 sec,0,1,0,0,0,0,0
0.547 sec,0,1,0,0,0,0,0
0.555 sec,0,1,0,0,0,0,0
0.563 sec,0,1,0,0,0,0,0
0.572 sec,0,1,0,0,0,0,0
0.58 sec,0,1,0,0,0,0,0
0.588 sec,0,1,0,0,0,0,0
0.597 sec,0,1,0,0,0,0,0
0.605 sec,0,1,0,0,0,0,0
0.613 sec,0,1,0,0,0,0,0
0.622 sec,0,1,0,0,0,0,0
0.63 sec,0,1,0,0,0,0,0
0.638 sec,0,1,0,0,0,0,0
0.647 sec,0,1,0,0,0,0,0
0.655 sec,0,1,0,0,0,0,0
0.663 sec,0,1,0,0,0,0,0
0.672 sec,0,1,0,0,0,0,0
0.68 sec,0,1,0,0,0,0,0
0.688 sec,0,1,0,0,0,0,0
0.697 sec,0,1,0,0,0,0,0
0.705 sec,0,1,0,0,0,0,0
0.713 sec,0,1,0,0,0,0,0
0.722 sec,0,1,0,0,0,0,0
0.73 sec,0,1,0,0,0,0,0
0.738 sec,0,1,0,0,0,0,0
0.747 sec,0,1,0,0,0,0,0
0.755 sec,0,1,0,0,0,0,0
0.763 sec,0,1,0,0,0,0,0
0.772 sec,0,1,0,0,0,0,0
0.78 sec,0,1,0,0,0,0,0
0.788 sec,0,1,0,0,0,0,0
0.797 sec,0,1,0,0,0,0,0
0.805 sec,0,1,0,0,0,0,0
0.813 sec,0,1,0,0,0,0,0
0.822 sec,0,1,0,0,0,0,0
0.83 sec,0,1,0,0,0,0,0
0.838 sec,0,1,0,0,0,0,0
0.847 sec,0,1,0,0,0,0,0
0.855 sec,0,1,0,0,0,0,0
0.864 sec,0,1,0,0,0,0,0
0.872 sec,0,1,0,0,0,0,0
0.88 sec,0,1,0,0,0,0,0
0.889 sec,0,1,0,0,0,0,0
0.897 sec,0,1,0,0,0,0,0
0.905 sec,0,1,0,0,0,0,0
0.914 sec,0,1,0,0,0,0,0
0.922 sec,0,1,0,0,0,0,0
0.93 sec,0,1,0,0,0,0,0
0.939 sec,0,1,0,0,0,0,0
0.947 sec,0,1,0,0,0,0,0
0.955 sec,0,1,0,0,0,0,0
0.964 sec,0,1,0,0,0,0,0
0.972 sec,0,1,0,0,0,0,0
0.98 sec,0,1,0,0,0,0,0
0.989 sec,0,1,0,0,0,0,0
0.997 sec,0,1,0,0,0,0,0
1.005 sec,0,1,0,0,0,0,0
1.014 sec,0,1,0,0,0,0,0
1.022 sec,0,1,0,0,0,0,0
1.03 sec,0,1,0,0,0,0,0
1.039 sec,0,1,0,0,0,0,0
1.047 sec,0,1,0,0,0,0,0
1.055 sec,0,1,0,0,0,0,0
1.064 sec,0,1,0,0,0,0,0
1.072 sec,0,1,0,0,0,0,0
1.08 sec,0,1,0,0,0,0,0
1.089 sec,0,1,0,0,0,0,0
1.097 sec,0,1,0,0,0,0,0
1.105 sec,0,1,0,0,0,0,0
1.114 sec,0,1,0,0,0,0,0
1.122 sec,0,1,0,0,0,0,0
1.13 sec,0,1,0,0,0,0,0
1.139 sec,0,1,0,0,0,0,0
1.147 sec,0,1,0,0,0,0,0
1.155 sec,0,1,0,0,0,0,0
1.164 sec,0,1,0,0,0,0,0
1.172 sec,0,1,0,0,0,0,0
1.18 sec,0,1,0,0,0,0,0
1.189 sec,0,1,0,0,0,0,0
1.197 sec,0,1,0,0,0,0,0
1.206 sec,0,1,0,0,0,0,0
1.214 sec,0,1,0,0,0,0,0
1.222 sec,0,1,0,0,0,0,0
1.231 sec,0,1,0,0,0,0,0
1.239 sec,0,1,0,0,0,0,0
1.247 sec,0,1,0,0,0,0,0
1.256 sec,0,1,0,0,0,0,0
1.264 sec,0,1,0,0,0,0,0
1.272 sec,0,1,0,0,0,0,0
1.281 sec,0,1,0,0,0,0,0
1.289 sec,0,1,0,0,0,0,0
1.297 sec,0,1,0,0,0,0,0
1.306 sec,0,1,0,0,0,0,0
1.314 sec,0,1,0,0,0,0,0
1.322 sec,0,1,0,0,0,0,0
1.331 sec,0,1,0,0,0,0,0
1.339 sec,0,1,0,0,0,0,0
1.347 sec,0,1,0,0,0,0,0
1.356 sec,0,1,0,0,0,0,0
1.364 sec,0,1,0,0,0,0,0
1.372 sec,0,1,0,0,0,0,0
1.381 sec,0,1,0,0,0,0,0
1.389 sec,0,1,0,0,0,0,0
1.397 sec,0,1,0,0,0,0,0
1.406 sec,0,1,0,0,0,0,0
1.414 sec,0,1,0,0,0,0,0
1.422 sec,0,1,0,0,0,0,0
1.431 sec,0,1,0,0,0,0,0
1.439 sec,0,1,0,0,0,0,0
1.447 sec,0,1,0,0,0,0,0
1.456 sec,0,1,0,0,0,0,0
1.464 sec,0,1,0,0,0,0,0
1.472 sec,0,1,0,0,0,0,0
1.481 sec,0,1,0,0,0,0,0
1.489 sec,0,1,0,0,0,0,0
1.497 sec,0,1,0,0,0,0,0
1.506 sec,0,1,0,0,0,0,0
